trivial, nontrivial, cycles, bl, routed, usage
12, 10, 146, 4, 6, 0.210000
13, 9, 115, 2, 7, 0.250000
12, 10, 113, 4, 6, 0.180000
15, 7, 63, 2, 5, 0.200000
10, 12, 137, 1, 11, 0.290000
13, 9, 107, 3, 6, 0.220000
12, 10, 122, 1, 9, 0.290000
10, 12, 137, 1, 11, 0.290000
11, 11, 127, 4, 7, 0.220000
13, 9, 118, 6, 3, 0.140000
12, 10, 132, 2, 8, 0.270000
15, 7, 89, 1, 6, 0.240000
12, 10, 132, 3, 7, 0.210000
13, 9, 99, 1, 8, 0.280000
9, 13, 163, 3, 10, 0.250000
16, 6, 77, 3, 3, 0.190000
15, 7, 101, 3, 4, 0.210000
9, 13, 163, 3, 10, 0.250000
12, 10, 138, 4, 6, 0.200000
11, 11, 122, 3, 8, 0.210000
13, 9, 112, 2, 7, 0.260000
14, 8, 111, 3, 5, 0.250000
16, 6, 62, 1, 5, 0.230000
11, 11, 120, 3, 8, 0.250000
10, 12, 137, 4, 8, 0.220000
15, 7, 110, 3, 4, 0.260000
16, 6, 89, 3, 3, 0.210000
10, 12, 137, 4, 8, 0.220000
13, 9, 108, 3, 6, 0.270000
12, 10, 112, 3, 7, 0.210000
11, 11, 163, 4, 7, 0.220000
15, 7, 90, 4, 3, 0.170000
15, 7, 83, 2, 5, 0.220000
12, 10, 116, 3, 7, 0.220000
13, 9, 121, 2, 7, 0.230000
13, 9, 117, 3, 6, 0.210000
13, 9, 101, 1, 8, 0.260000
13, 9, 121, 2, 7, 0.230000
10, 12, 152, 4, 8, 0.250000
12, 10, 105, 5, 5, 0.150000
10, 12, 150, 5, 7, 0.200000
16, 6, 60, 1, 5, 0.220000
14, 8, 94, 2, 6, 0.220000
14, 8, 67, 1, 3, 0.210000
11, 11, 149, 4, 7, 0.210000
14, 8, 115, 4, 4, 0.190000
13, 9, 117, 3, 6, 0.210000
11, 11, 149, 4, 7, 0.210000
13, 9, 108, 4, 5, 0.170000
13, 9, 133, 4, 5, 0.240000
12, 10, 130, 4, 6, 0.220000
13, 9, 103, 2, 7, 0.250000
11, 11, 150, 5, 6, 0.200000
9, 13, 143, 3, 10, 0.240000
12, 10, 123, 3, 7, 0.210000
18, 4, 42, 1, 3, 0.220000
16, 6, 69, 2, 4, 0.190000
12, 10, 123, 3, 7, 0.210000
9, 13, 146, 3, 10, 0.230000
13, 9, 96, 2, 7, 0.220000
10, 12, 133, 3, 9, 0.250000
14, 8, 108, 2, 6, 0.230000
14, 8, 93, 1, 7, 0.270000
15, 7, 80, 2, 1, 0.210000
12, 10, 110, 3, 7, 0.230000
14, 8, 107, 4, 4, 0.180000
15, 7, 87, 3, 4, 0.180000
12, 10, 110, 3, 7, 0.230000
12, 10, 131, 4, 6, 0.210000
14, 8, 90, 3, 5, 0.200000
11, 11, 132, 4, 7, 0.220000
16, 6, 80, 2, 4, 0.220000
14, 8, 119, 3, 5, 0.200000
15, 7, 92, 1, 6, 0.260000
12, 10, 99, 2, 8, 0.250000
13, 9, 107, 3, 6, 0.200000
15, 7, 86, 2, 5, 0.210000
12, 10, 99, 2, 8, 0.250000
11, 11, 127, 3, 8, 0.250000
14, 8, 116, 4, 4, 0.190000
9, 13, 174, 4, 9, 0.230000
11, 11, 133, 3, 8, 0.240000
13, 9, 88, 3, 6, 0.200000
14, 8, 101, 2, 6, 0.230000
12, 10, 114, 2, 8, 0.260000
11, 11, 138, 4, 7, 0.210000
13, 9, 136, 2, 7, 0.240000
12, 10, 114, 2, 8, 0.260000
10, 12, 119, 3, 9, 0.230000
13, 9, 100, 2, 7, 0.240000
12, 10, 116, 3, 7, 0.230000
16, 6, 81, 2, 4, 0.200000
13, 9, 115, 3, 6, 0.210000
14, 8, 88, 2, 6, 0.230000
12, 10, 126, 1, 9, 0.300000
14, 8, 101, 4, 4, 0.180000
14, 8, 86, 3, 5, 0.190000
12, 10, 126, 1, 9, 0.300000
11, 11, 131, 5, 6, 0.190000
14, 8, 115, 4, 4, 0.220000
11, 11, 160, 4, 7, 0.210000
14, 8, 119, 5, 3, 0.160000
16, 6, 73, 2, 4, 0.210000
13, 9, 113, 2, 7, 0.260000
12, 10, 139, 2, 8, 0.260000
13, 9, 113, 2, 7, 0.230000
12, 10, 139, 2, 8, 0.260000
12, 10, 139, 2, 8, 0.260000
10, 12, 125, 4, 8, 0.200000
12, 10, 119, 6, 4, 0.150000
9, 13, 173, 4, 9, 0.230000
11, 11, 138, 2, 9, 0.270000
14, 8, 72, 3, 5, 0.180000
14, 8, 105, 2, 6, 0.230000
12, 10, 100, 2, 8, 0.260000
12, 10, 141, 3, 7, 0.230000
12, 10, 153, 2, 8, 0.250000
