trivial, nontrivial, cycles, bl, routed, usage
16, 11, 146, 2, 9, 0.340000
14, 13, 174, 4, 9, 0.300000
13, 14, 178, 6, 8, 0.240000
14, 13, 166, 5, 8, 0.270000
15, 12, 177, 5, 7, 0.290000
10, 17, 211, 6, 11, 0.310000
16, 11, 157, 4, 7, 0.270000
15, 12, 157, 5, 7, 0.280000
16, 11, 116, 3, 8, 0.280000
13, 14, 196, 6, 8, 0.250000
15, 12, 165, 5, 7, 0.280000
16, 11, 158, 6, 5, 0.240000
13, 14, 197, 5, 9, 0.290000
15, 12, 165, 5, 7, 0.280000
12, 15, 213, 4, 11, 0.330000
14, 13, 144, 3, 10, 0.320000
18, 9, 114, 5, 4, 0.210000
13, 14, 198, 4, 10, 0.300000
16, 11, 159, 3, 8, 0.310000
13, 14, 186, 4, 10, 0.300000
14, 13, 168, 4, 9, 0.300000
19, 8, 134, 4, 4, 0.290000
13, 14, 186, 4, 10, 0.300000
15, 12, 164, 5, 7, 0.280000
12, 15, 194, 3, 12, 0.410000
13, 14, 208, 5, 9, 0.280000
14, 13, 159, 5, 8, 0.280000
16, 11, 124, 4, 7, 0.260000
14, 13, 170, 5, 8, 0.280000
13, 14, 196, 5, 9, 0.280000
14, 13, 187, 4, 9, 0.300000
18, 9, 132, 4, 5, 0.250000
13, 14, 196, 5, 9, 0.280000
12, 15, 228, 3, 12, 0.370000
12, 15, 180, 5, 10, 0.300000
14, 13, 175, 6, 7, 0.240000
21, 6, 90, 2, 4, 0.300000
12, 15, 202, 6, 9, 0.260000
15, 12, 145, 3, 9, 0.310000
14, 13, 130, 5, 8, 0.280000
16, 11, 152, 6, 5, 0.240000
15, 12, 145, 3, 9, 0.310000
13, 14, 186, 6, 8, 0.300000
11, 16, 212, 6, 10, 0.280000
16, 11, 112, 4, 7, 0.250000
14, 13, 176, 5, 8, 0.310000
16, 11, 144, 2, 9, 0.320000
13, 14, 27, 0, 2, 0.170000
15, 12, 147, 4, 8, 0.310000
12, 15, 204, 6, 9, 0.290000
18, 9, 119, 2, 7, 0.320000
15, 12, 147, 4, 8, 0.310000
19, 8, 96, 4, 4, 0.240000
11, 16, 210, 9, 7, 0.210000
17, 10, 128, 5, 5, 0.260000
15, 12, 159, 6, 6, 0.270000
17, 10, 172, 3, 7, 0.320000
11, 16, 191, 4, 12, 0.320000
