trivial, nontrivial, cycles, bl, routed, usage
9, 10, 106, 3, 7, 0.160000
13, 6, 69, 2, 4, 0.180000
12, 7, 78, 0, 7, 0.260000
12, 7, 87, 2, 5, 0.220000
10, 9, 95, 1, 8, 0.220000
11, 8, 97, 1, 7, 0.230000
14, 5, 55, 1, 4, 0.180000
10, 9, 95, 1, 8, 0.220000
9, 10, 91, 3, 7, 0.160000
13, 6, 70, 2, 4, 0.180000
10, 9, 104, 1, 8, 0.260000
9, 10, 105, 3, 7, 0.200000
13, 6, 27, 0, 3, 0.170000
12, 7, 77, 0, 7, 0.240000
12, 7, 59, 1, 6, 0.190000
13, 6, 77, 0, 6, 0.260000
15, 4, 43, 1, 3, 0.190000
12, 7, 59, 1, 6, 0.190000
9, 10, 110, 2, 8, 0.220000
11, 8, 98, 1, 7, 0.240000
9, 10, 120, 2, 8, 0.240000
11, 8, 87, 1, 7, 0.230000
11, 8, 91, 2, 6, 0.200000
14, 5, 71, 1, 4, 0.230000
8, 11, 119, 3, 8, 0.180000
11, 8, 73, 1, 7, 0.200000
12, 7, 38, 1, 3, 0.160000
8, 11, 119, 3, 8, 0.180000
10, 9, 93, 2, 7, 0.190000
12, 7, 80, 0, 7, 0.250000
10, 9, 106, 1, 8, 0.250000
11, 8, 80, 1, 7, 0.210000
14, 5, 71, 1, 4, 0.200000
12, 7, 76, 0, 7, 0.270000
10, 9, 97, 1, 8, 0.220000
12, 7, 87, 1, 6, 0.250000
15, 4, 49, 1, 3, 0.170000
10, 9, 97, 1, 8, 0.220000
8, 11, 106, 2, 9, 0.220000
11, 8, 102, 2, 6, 0.180000
9, 10, 103, 2, 8, 0.200000
14, 5, 80, 1, 4, 0.220000
11, 8, 114, 1, 7, 0.230000
11, 8, 88, 3, 5, 0.170000
10, 9, 95, 1, 8, 0.220000
9, 10, 122, 1, 9, 0.250000
13, 6, 68, 1, 5, 0.200000
10, 9, 95, 1, 8, 0.220000
9, 10, 88, 2, 8, 0.200000
14, 5, 69, 2, 3, 0.190000
8, 11, 114, 2, 9, 0.220000
12, 7, 82, 2, 5, 0.180000
14, 5, 78, 1, 4, 0.180000
12, 7, 64, 0, 7, 0.230000
11, 8, 84, 1, 7, 0.200000
11, 8, 103, 1, 7, 0.250000
15, 4, 34, 0, 4, 0.200000
11, 8, 84, 1, 7, 0.200000
9, 10, 112, 3, 7, 0.190000
12, 7, 74, 1, 6, 0.190000
10, 9, 104, 1, 8, 0.260000
9, 10, 105, 3, 7, 0.200000
13, 6, 27, 0, 3, 0.170000
12, 7, 77, 0, 7, 0.240000
12, 7, 59, 1, 6, 0.190000
13, 6, 77, 0, 6, 0.260000
15, 4, 43, 1, 3, 0.190000
12, 7, 59, 1, 6, 0.190000
9, 10, 110, 2, 8, 0.220000
11, 8, 98, 1, 7, 0.240000
10, 9, 106, 1, 8, 0.250000
11, 8, 80, 1, 7, 0.210000
14, 5, 71, 1, 4, 0.200000
12, 7, 76, 0, 7, 0.270000
10, 9, 97, 1, 8, 0.220000
12, 7, 87, 1, 6, 0.250000
15, 4, 49, 1, 3, 0.170000
10, 9, 97, 1, 8, 0.220000
8, 11, 106, 2, 9, 0.220000
11, 8, 102, 2, 6, 0.180000
10, 9, 106, 1, 8, 0.250000
11, 8, 80, 1, 7, 0.210000
14, 5, 71, 1, 4, 0.200000
12, 7, 76, 0, 7, 0.270000
10, 9, 97, 1, 8, 0.220000
12, 7, 87, 1, 6, 0.250000
15, 4, 49, 1, 3, 0.170000
10, 9, 97, 1, 8, 0.220000
8, 11, 106, 2, 9, 0.220000
11, 8, 102, 2, 6, 0.180000
9, 10, 106, 3, 7, 0.160000
13, 6, 69, 2, 4, 0.180000
