trivial, nontrivial, cycles, bl, routed, usage
15, 20, 258, 6, 14, 0.270833
15, 20, 258, 6, 14, 0.270833
18, 17, 218, 8, 9, 0.222222
18, 17, 223, 9, 8, 0.201389
18, 17, 223, 9, 8, 0.201389
20, 15, 226, 6, 9, 0.243056
19, 16, 187, 5, 11, 0.291667
22, 13, 175, 4, 9, 0.270833
18, 17, 219, 5, 12, 0.305556
18, 17, 207, 7, 10, 0.250000
18, 17, 218, 7, 10, 0.236111
18, 17, 218, 7, 10, 0.236111
14, 21, 263, 9, 12, 0.236111
14, 21, 263, 9, 12, 0.236111
14, 21, 263, 9, 12, 0.236111
20, 15, 226, 6, 9, 0.256944
23, 12, 223, 6, 6, 0.256944
19, 16, 226, 4, 12, 0.319444
19, 16, 220, 6, 10, 0.284722
17, 18, 280, 9, 9, 0.222222
14, 21, 238, 7, 14, 0.263889
14, 21, 238, 7, 14, 0.263889
22, 13, 173, 6, 7, 0.256944
22, 13, 173, 6, 7, 0.256944
22, 13, 173, 6, 7, 0.256944
18, 17, 209, 8, 9, 0.215278
20, 15, 259, 6, 9, 0.319444
19, 16, 197, 6, 10, 0.263889
19, 16, 187, 6, 10, 0.277778
20, 15, 213, 5, 10, 0.305556
17, 18, 240, 6, 12, 0.270833
17, 18, 251, 7, 11, 0.250000
13, 22, 299, 9, 13, 0.243056
13, 22, 299, 9, 13, 0.243056
13, 22, 299, 9, 13, 0.243056
16, 19, 271, 6, 13, 0.284722
19, 16, 216, 7, 9, 0.263889
24, 11, 178, 5, 6, 0.256944
20, 15, 207, 8, 7, 0.222222
17, 18, 220, 6, 12, 0.263889
17, 18, 224, 6, 12, 0.263889
18, 17, 240, 7, 10, 0.250000
17, 18, 268, 8, 10, 0.243056
17, 18, 268, 8, 10, 0.243056
21, 14, 185, 6, 8, 0.256944
21, 14, 154, 7, 7, 0.229167
22, 13, 220, 4, 9, 0.305556
19, 16, 195, 5, 11, 0.291667
16, 19, 257, 9, 10, 0.215278
19, 16, 219, 3, 13, 0.305556
19, 16, 219, 3, 13, 0.305556
