trivial, nontrivial, cycles, bl, routed, usage
8, 10, 113, 2, 8, 0.328125
8, 10, 113, 2, 8, 0.328125
9, 9, 96, 4, 5, 0.218750
9, 9, 96, 4, 5, 0.218750
9, 9, 96, 4, 5, 0.218750
9, 9, 96, 4, 5, 0.218750
9, 9, 96, 4, 5, 0.218750
8, 10, 121, 4, 6, 0.281250
8, 10, 121, 4, 6, 0.281250
8, 10, 125, 2, 8, 0.343750
8, 10, 125, 2, 8, 0.343750
12, 6, 73, 1, 5, 0.296875
9, 9, 99, 1, 8, 0.375000
9, 9, 99, 1, 8, 0.375000
8, 10, 122, 3, 7, 0.312500
12, 6, 51, 2, 4, 0.250000
12, 6, 51, 2, 4, 0.250000
11, 7, 77, 2, 5, 0.296875
11, 7, 77, 2, 5, 0.296875
10, 8, 80, 2, 6, 0.296875
10, 8, 80, 2, 6, 0.296875
10, 8, 80, 2, 6, 0.296875
10, 8, 80, 2, 6, 0.296875
10, 8, 68, 3, 5, 0.265625
10, 8, 80, 2, 6, 0.296875
11, 7, 86, 2, 5, 0.296875
11, 7, 86, 2, 5, 0.296875
9, 9, 114, 1, 8, 0.406250
9, 9, 114, 1, 8, 0.406250
11, 7, 72, 1, 6, 0.328125
11, 7, 72, 1, 6, 0.328125
11, 7, 72, 1, 6, 0.328125
11, 7, 72, 1, 6, 0.328125
9, 9, 91, 3, 6, 0.296875
11, 7, 72, 1, 6, 0.328125
7, 11, 140, 4, 7, 0.281250
7, 11, 140, 4, 7, 0.281250
9, 9, 107, 2, 7, 0.328125
9, 9, 107, 2, 7, 0.328125
10, 8, 86, 3, 5, 0.234375
10, 8, 86, 3, 5, 0.234375
10, 8, 86, 3, 5, 0.234375
10, 8, 86, 3, 5, 0.234375
12, 6, 68, 1, 5, 0.296875
10, 8, 86, 3, 5, 0.234375
8, 10, 118, 4, 6, 0.265625
8, 10, 118, 4, 6, 0.265625
9, 9, 100, 3, 6, 0.265625
9, 9, 100, 3, 6, 0.265625
9, 9, 87, 3, 6, 0.265625
9, 9, 87, 3, 6, 0.265625
9, 9, 87, 3, 6, 0.265625
9, 9, 87, 3, 6, 0.265625
12, 6, 72, 1, 5, 0.312500
9, 9, 87, 3, 6, 0.265625
8, 10, 108, 2, 8, 0.328125
8, 10, 108, 2, 8, 0.328125
9, 9, 107, 2, 7, 0.312500
9, 9, 107, 2, 7, 0.312500
9, 9, 107, 2, 7, 0.312500
9, 9, 107, 2, 7, 0.312500
11, 7, 70, 1, 6, 0.312500
9, 9, 107, 2, 7, 0.312500
13, 5, 66, 1, 4, 0.296875
13, 5, 66, 1, 4, 0.296875
9, 9, 123, 1, 8, 0.390625
9, 9, 123, 1, 8, 0.390625
7, 11, 111, 3, 8, 0.296875
7, 11, 111, 3, 8, 0.296875
7, 11, 111, 3, 8, 0.296875
7, 11, 111, 3, 8, 0.296875
13, 5, 77, 1, 4, 0.328125
7, 11, 111, 3, 8, 0.296875
9, 9, 112, 3, 6, 0.296875
9, 9, 112, 3, 6, 0.296875
8, 10, 132, 3, 7, 0.312500
8, 10, 132, 3, 7, 0.312500
8, 10, 132, 3, 7, 0.312500
8, 10, 132, 3, 7, 0.312500
10, 8, 92, 1, 7, 0.343750
8, 10, 132, 3, 7, 0.312500
13, 5, 57, 1, 4, 0.296875
13, 5, 57, 1, 4, 0.296875
11, 7, 82, 1, 6, 0.328125
11, 7, 82, 1, 6, 0.328125
10, 8, 74, 1, 7, 0.328125
10, 8, 74, 1, 7, 0.328125
10, 8, 74, 1, 7, 0.328125
10, 8, 74, 1, 7, 0.328125
10, 8, 96, 1, 7, 0.343750
10, 8, 74, 1, 7, 0.328125
9, 9, 119, 3, 6, 0.312500
9, 9, 119, 3, 6, 0.312500
10, 8, 98, 0, 8, 0.406250
