trivial, nontrivial, cycles, bl, routed, usage
9, 10, 140, 5, 5, 0.281250
9, 10, 140, 5, 5, 0.281250
11, 8, 130, 5, 3, 0.265625
11, 8, 130, 5, 3, 0.265625
11, 8, 130, 5, 3, 0.265625
11, 8, 130, 5, 3, 0.265625
10, 9, 122, 1, 8, 0.437500
11, 8, 130, 5, 3, 0.265625
9, 10, 157, 3, 7, 0.406250
9, 10, 157, 3, 7, 0.406250
9, 10, 120, 2, 8, 0.406250
9, 10, 120, 2, 8, 0.406250
10, 9, 123, 3, 6, 0.328125
10, 9, 123, 3, 6, 0.328125
10, 9, 123, 3, 6, 0.328125
10, 9, 123, 3, 6, 0.328125
11, 8, 107, 1, 7, 0.421875
10, 9, 123, 3, 6, 0.328125
11, 8, 104, 2, 6, 0.359375
11, 8, 104, 2, 6, 0.359375
9, 10, 145, 4, 6, 0.312500
9, 10, 145, 4, 6, 0.312500
9, 10, 145, 4, 6, 0.312500
9, 10, 145, 4, 6, 0.312500
11, 8, 136, 4, 4, 0.312500
9, 10, 145, 4, 6, 0.312500
12, 7, 90, 3, 4, 0.281250
12, 7, 90, 3, 4, 0.281250
11, 8, 94, 2, 6, 0.343750
11, 8, 94, 2, 6, 0.343750
10, 9, 125, 3, 6, 0.328125
10, 9, 125, 3, 6, 0.328125
10, 9, 125, 3, 6, 0.328125
10, 9, 125, 3, 6, 0.328125
9, 10, 165, 3, 7, 0.406250
10, 9, 125, 3, 6, 0.328125
10, 9, 141, 4, 5, 0.328125
10, 9, 141, 4, 5, 0.328125
8, 11, 119, 5, 6, 0.296875
8, 11, 119, 5, 6, 0.296875
10, 9, 129, 4, 5, 0.296875
10, 9, 129, 4, 5, 0.296875
10, 9, 129, 4, 5, 0.296875
10, 9, 129, 4, 5, 0.296875
11, 8, 123, 3, 5, 0.343750
10, 9, 129, 4, 5, 0.296875
10, 9, 117, 4, 5, 0.265625
10, 9, 117, 4, 5, 0.265625
9, 10, 126, 4, 6, 0.312500
9, 10, 126, 4, 6, 0.312500
11, 8, 117, 4, 4, 0.281250
11, 8, 117, 4, 4, 0.281250
11, 8, 117, 4, 4, 0.281250
11, 8, 117, 4, 4, 0.281250
11, 8, 117, 4, 4, 0.281250
9, 10, 145, 3, 7, 0.421875
9, 10, 145, 3, 7, 0.421875
9, 10, 126, 4, 6, 0.312500
9, 10, 126, 4, 6, 0.312500
11, 8, 117, 4, 4, 0.281250
11, 8, 117, 4, 4, 0.281250
11, 8, 117, 4, 4, 0.281250
11, 8, 117, 4, 4, 0.281250
11, 8, 117, 4, 4, 0.281250
9, 10, 145, 3, 7, 0.421875
9, 10, 145, 3, 7, 0.421875
9, 10, 140, 5, 5, 0.281250
9, 10, 140, 5, 5, 0.281250
11, 8, 130, 5, 3, 0.265625
