trivial, nontrivial, cycles, bl, routed, usage
17, 15, 206, 8, 7, 0.194444
18, 14, 211, 7, 7, 0.194444
18, 14, 205, 5, 9, 0.256944
18, 14, 205, 5, 9, 0.256944
17, 15, 243, 5, 10, 0.305556
18, 14, 205, 5, 9, 0.256944
17, 15, 243, 5, 10, 0.305556
15, 17, 256, 7, 10, 0.250000
15, 17, 218, 5, 12, 0.250000
17, 15, 206, 8, 7, 0.194444
17, 15, 214, 8, 7, 0.201389
17, 15, 243, 7, 8, 0.215278
18, 14, 208, 5, 9, 0.263889
18, 14, 208, 5, 9, 0.263889
17, 15, 213, 3, 12, 0.354167
18, 14, 208, 5, 9, 0.263889
17, 15, 213, 3, 12, 0.354167
15, 17, 246, 7, 10, 0.256944
15, 17, 231, 6, 11, 0.229167
17, 15, 214, 8, 7, 0.201389
21, 11, 178, 5, 6, 0.236111
17, 15, 198, 6, 9, 0.243056
16, 16, 213, 5, 11, 0.263889
16, 16, 213, 5, 11, 0.263889
18, 14, 226, 6, 8, 0.263889
16, 16, 213, 5, 11, 0.263889
18, 14, 226, 6, 8, 0.263889
17, 15, 234, 6, 9, 0.256944
14, 18, 251, 9, 9, 0.229167
21, 11, 178, 5, 6, 0.236111
16, 16, 204, 6, 10, 0.263889
20, 12, 167, 4, 8, 0.270833
17, 15, 246, 8, 7, 0.222222
17, 15, 246, 8, 7, 0.222222
21, 11, 209, 5, 6, 0.236111
17, 15, 246, 8, 7, 0.222222
21, 11, 209, 5, 6, 0.236111
18, 14, 186, 6, 8, 0.229167
20, 12, 218, 8, 4, 0.180556
16, 16, 204, 6, 10, 0.263889
14, 18, 266, 6, 12, 0.326389
13, 19, 243, 8, 11, 0.256944
14, 18, 254, 5, 13, 0.319444
14, 18, 254, 5, 13, 0.319444
16, 16, 225, 4, 12, 0.284722
14, 18, 254, 5, 13, 0.319444
16, 16, 225, 4, 12, 0.284722
17, 15, 215, 6, 9, 0.250000
18, 14, 204, 5, 9, 0.236111
14, 18, 266, 6, 12, 0.326389
