trivial, nontrivial, cycles, bl, routed, usage
78, 47, 806, 26, 21, 0.270661
83, 42, 879, 22, 20, 0.268595
82, 43, 897, 22, 21, 0.299587
73, 52, 942, 26, 26, 0.270661
74, 51, 1026, 30, 21, 0.289256
80, 45, 964, 23, 22, 0.299587
78, 47, 881, 29, 18, 0.233471
79, 46, 1193, 23, 23, 0.289256
75, 50, 1043, 30, 20, 0.245868
73, 52, 1032, 27, 25, 0.287190
73, 52, 928, 29, 23, 0.258264
71, 54, 1010, 28, 26, 0.260331
82, 43, 953, 27, 16, 0.278926
71, 54, 1104, 26, 28, 0.285124
75, 50, 1049, 25, 25, 0.301653
78, 47, 1110, 26, 21, 0.278926
72, 53, 971, 25, 28, 0.303719
74, 51, 1065, 25, 26, 0.291322
78, 47, 877, 25, 22, 0.276860
68, 57, 1099, 29, 28, 0.270661
75, 50, 846, 28, 22, 0.247934
78, 47, 877, 19, 28, 0.326446
69, 56, 1065, 31, 25, 0.278926
76, 49, 972, 20, 29, 0.320248
76, 49, 972, 20, 29, 0.320248
69, 56, 1028, 25, 31, 0.303719
77, 48, 990, 28, 20, 0.264463
80, 45, 902, 25, 20, 0.289256
74, 51, 1141, 25, 26, 0.309917
79, 46, 906, 22, 24, 0.287190
74, 51, 1141, 25, 26, 0.309917
80, 45, 868, 18, 27, 0.307851
73, 52, 1112, 30, 22, 0.254132
73, 52, 1112, 30, 22, 0.254132
75, 50, 932, 24, 26, 0.324380
74, 51, 1139, 23, 28, 0.311983
75, 50, 953, 26, 24, 0.258264
76, 49, 1095, 26, 23, 0.301653
72, 53, 991, 26, 27, 0.285124
72, 53, 991, 26, 27, 0.285124
71, 54, 1030, 29, 25, 0.264463
74, 51, 1050, 26, 25, 0.303719
79, 46, 925, 21, 25, 0.324380
71, 54, 1185, 28, 26, 0.295455
80, 45, 1105, 24, 21, 0.266529
71, 54, 1185, 28, 26, 0.295455
76, 49, 975, 25, 24, 0.285124
80, 45, 922, 23, 22, 0.283058
75, 50, 948, 20, 30, 0.311983
76, 49, 1079, 26, 23, 0.280992
68, 57, 1022, 29, 28, 0.272727
77, 48, 970, 26, 22, 0.272727
68, 57, 1022, 29, 28, 0.272727
73, 52, 1022, 25, 27, 0.293388
71, 54, 980, 27, 27, 0.268595
85, 40, 904, 24, 16, 0.250000
79, 46, 985, 24, 22, 0.287190
77, 48, 1051, 23, 25, 0.301653
73, 52, 987, 26, 26, 0.299587
66, 59, 1108, 25, 34, 0.324380
73, 52, 987, 26, 26, 0.299587
73, 52, 1053, 24, 28, 0.301653
72, 53, 967, 31, 22, 0.254132
74, 51, 946, 28, 23, 0.254132
73, 52, 1038, 33, 19, 0.272727
71, 54, 1091, 34, 20, 0.274793
70, 55, 1099, 26, 29, 0.301653
71, 54, 1091, 34, 20, 0.274793
82, 43, 821, 20, 23, 0.276860
78, 47, 1030, 22, 25, 0.297521
80, 45, 829, 23, 22, 0.268595
72, 53, 1002, 31, 22, 0.268595
72, 53, 1002, 31, 22, 0.268595
73, 52, 924, 26, 26, 0.278926
82, 43, 922, 21, 22, 0.289256
81, 44, 939, 23, 21, 0.278926
75, 50, 858, 22, 28, 0.285124
75, 50, 858, 22, 28, 0.285124
70, 55, 1024, 29, 26, 0.262397
74, 51, 952, 22, 29, 0.309917
73, 52, 1082, 31, 21, 0.256198
77, 48, 955, 25, 23, 0.280992
70, 55, 1042, 26, 29, 0.293388
79, 46, 1050, 24, 22, 0.299587
66, 59, 1142, 29, 30, 0.276860
73, 52, 1180, 27, 25, 0.274793
76, 49, 950, 25, 24, 0.301653
84, 41, 966, 26, 15, 0.247934
73, 52, 1180, 27, 25, 0.274793
73, 52, 967, 26, 26, 0.278926
69, 56, 1020, 31, 25, 0.245868
70, 55, 1073, 28, 27, 0.278926
80, 45, 934, 25, 20, 0.285124
69, 56, 1020, 31, 25, 0.245868
77, 48, 916, 29, 19, 0.254132
71, 54, 924, 25, 29, 0.287190
74, 51, 1104, 30, 21, 0.266529
74, 51, 1011, 21, 30, 0.334711
72, 53, 1030, 24, 29, 0.305785
76, 49, 942, 22, 27, 0.283058
78, 47, 908, 26, 21, 0.252066
71, 54, 1112, 28, 26, 0.274793
73, 52, 1065, 26, 26, 0.295455
73, 52, 1065, 26, 26, 0.295455
78, 47, 920, 25, 22, 0.303719
77, 48, 984, 24, 24, 0.295455
71, 54, 1085, 28, 26, 0.283058
73, 52, 964, 23, 29, 0.299587
74, 51, 1058, 27, 24, 0.289256
77, 48, 916, 25, 23, 0.276860
67, 58, 1290, 31, 27, 0.280992
76, 49, 881, 28, 21, 0.268595
75, 50, 1064, 24, 26, 0.272727
73, 52, 1027, 24, 28, 0.309917
72, 53, 968, 24, 29, 0.278926
76, 49, 1071, 24, 25, 0.276860
75, 50, 1030, 27, 23, 0.287190
74, 51, 1001, 22, 29, 0.303719
68, 57, 1236, 31, 26, 0.276860
79, 46, 963, 24, 22, 0.278926
64, 61, 1213, 30, 31, 0.272727
69, 56, 1088, 30, 26, 0.280992
73, 52, 1141, 28, 24, 0.280992
73, 52, 1141, 28, 24, 0.280992
71, 54, 887, 23, 31, 0.283058
68, 57, 1007, 30, 27, 0.272727
80, 45, 1033, 26, 19, 0.268595
77, 48, 1117, 24, 24, 0.309917
71, 54, 1136, 30, 24, 0.266529
66, 59, 1035, 32, 27, 0.262397
73, 52, 994, 25, 27, 0.295455
74, 51, 992, 28, 23, 0.291322
65, 60, 1223, 30, 
