trivial, nontrivial, cycles, bl, routed, usage
46, 39, 711, 22, 17, 0.253086
51, 34, 681, 20, 14, 0.271605
53, 32, 769, 18, 14, 0.262346
43, 42, 686, 21, 21, 0.262346
38, 47, 705, 23, 24, 0.259259
49, 36, 634, 21, 15, 0.271605
42, 43, 762, 21, 22, 0.277778
49, 36, 602, 23, 13, 0.246914
42, 43, 688, 24, 19, 0.237654
51, 34, 530, 15, 19, 0.271605
47, 38, 700, 23, 15, 0.243827
40, 45, 761, 23, 22, 0.259259
40, 45, 795, 24, 21, 0.259259
41, 44, 752, 23, 21, 0.280864
40, 45, 795, 24, 21, 0.259259
45, 40, 618, 21, 19, 0.293210
45, 40, 666, 21, 19, 0.250000
40, 45, 795, 24, 21, 0.259259
47, 38, 586, 19, 19, 0.262346
49, 36, 644, 18, 18, 0.277778
44, 41, 744, 23, 18, 0.259259
49, 36, 644, 18, 18, 0.277778
45, 40, 730, 19, 21, 0.274691
49, 36, 644, 18, 18, 0.277778
51, 34, 572, 20, 14, 0.237654
44, 41, 670, 18, 23, 0.283951
44, 41, 653, 23, 18, 0.253086
41, 44, 733, 22, 22, 0.265432
35, 50, 839, 25, 25, 0.274691
39, 46, 765, 27, 19, 0.250000
48, 37, 615, 17, 20, 0.271605
49, 36, 698, 20, 16, 0.250000
48, 37, 603, 18, 19, 0.274691
37, 48, 776, 26, 22, 0.243827
51, 34, 616, 19, 15, 0.283951
49, 36, 646, 20, 16, 0.262346
46, 39, 688, 21, 18, 0.250000
43, 42, 699, 24, 18, 0.243827
44, 41, 770, 25, 16, 0.237654
43, 42, 679, 24, 18, 0.265432
42, 43, 730, 21, 22, 0.274691
38, 47, 754, 24, 23, 0.262346
43, 42, 714, 20, 22, 0.299383
44, 41, 757, 24, 17, 0.234568
48, 37, 646, 19, 18, 0.262346
40, 45, 784, 20, 25, 0.293210
36, 49, 742, 24, 25, 0.240741
45, 40, 676, 25, 15, 0.231481
44, 41, 645, 20, 21, 0.268519
42, 43, 656, 22, 21, 0.253086
46, 39, 710, 20, 19, 0.271605
41, 44, 624, 23, 21, 0.250000
44, 41, 667, 17, 24, 0.299383
44, 41, 630, 18, 23, 0.299383
46, 39, 659, 19, 20, 0.265432
46, 39, 792, 22, 17, 0.253086
56, 29, 616, 18, 11, 0.265432
50, 35, 617, 19, 16, 0.265432
45, 40, 685, 22, 18, 0.256173
49, 36, 641, 17, 19, 0.271605
44, 41, 651, 21, 20, 0.250000
42, 43, 722, 23, 20, 0.265432
45, 40, 685, 23, 17, 0.262346
45, 40, 731, 17, 23, 0.299383
43, 42, 617, 18, 24, 0.290123
51, 34, 643, 19, 15, 0.259259
48, 37, 801, 22, 15, 0.253086
37, 48, 784, 20, 28, 0.293210
43, 42, 701, 22, 20, 0.283951
44, 41, 578, 18, 23, 0.271605
42, 43, 755, 23, 20, 0.253086
43, 42, 793, 22, 20, 0.271605
51, 34, 593, 19, 15, 0.250000
42, 43, 842, 21, 22, 0.274691
42, 43, 631, 22, 21, 0.253086
50, 35, 796, 24, 11, 0.234568
42, 43, 728, 22, 21, 0.290123
44, 41, 636, 20, 21, 0.265432
42, 43, 727, 24, 19, 0.237654
41, 44, 717, 22, 22, 0.253086
42, 43, 727, 24, 19, 0.237654
49, 36, 700, 24, 12, 0.231481
42, 43, 727, 24, 19, 0.237654
44, 41, 708, 21, 20, 0.259259
46, 39, 790, 22, 17, 0.256173
53, 32, 622, 21, 11, 0.234568
41, 44, 736, 23, 21, 0.246914
50, 35, 685, 18, 17, 0.271605
50, 35, 564, 22, 13, 0.222222
42, 43, 699, 24, 19, 0.237654
50, 35, 564, 22, 13, 0.222222
50, 35, 564, 22, 13, 0.222222
38, 47, 859, 26, 21, 0.246914
42, 43, 678, 19, 24, 0.287037
45, 40, 601, 22, 18, 0.268519
47, 38, 602, 21, 17, 0.253086
45, 40, 712, 24, 16, 0.234568
46, 39, 635, 16, 23, 0.314815
42, 43, 644, 22, 21, 0.268519
44, 41, 751, 27, 14, 0.216049
42, 43, 771, 25, 18, 0.253086
44, 41, 672, 19, 22, 0.293210
41, 44, 741, 21, 23, 0.265432
50, 35, 673, 18, 17, 0.265432
42, 43, 813, 21, 22, 0.287037
47, 38, 593, 20, 18, 0.246914
49, 36, 730, 21, 15, 0.246914
43, 42, 664, 20, 22, 0.256173
47, 38, 593, 20, 18, 0.246914
47, 38, 594, 17, 21, 0.268519
47, 38, 593, 20, 18, 0.246914
43, 42, 697, 20, 22, 0.280864
43, 42, 723, 21, 21, 0.274691
47, 38, 664, 19, 19, 0.268519
47, 38, 620, 21, 17, 0.250000
44, 41, 656, 21, 20, 0.262346
41, 44, 711, 22, 22, 0.277778
43, 42, 756, 18, 24, 0.287037
45, 40, 822, 20, 20, 0.299383
53, 32, 666, 16, 16, 0.283951
42, 43, 712, 19, 24, 0.287037
36, 49, 743, 26, 23, 0.246914
39, 46, 709, 25, 21, 0.246914
42, 43, 702, 20, 23, 0.308642
42, 43, 695, 21, 22, 0.265432
53, 32, 695, 19, 13, 0.250000
41, 44, 801, 20, 24, 0.283951
44, 41, 647, 20, 21, 0.274691
48, 37, 616, 21, 16, 0.259259
42, 43, 732, 26, 17, 0.228395
48, 37, 616, 21, 16, 0.259259
48, 37, 667, 19, 18, 0.259259
46, 39, 679, 22, 17, 0.246914
45, 40, 602, 18, 22, 0.293210
48, 37, 616, 21, 16, 0.259259
46, 39, 666, 19, 20, 0.277778
47, 38, 675, 21, 17, 0.262346
46, 39, 716, 24, 15, 0.237654
46, 39, 677, 22, 17, 0.262346
50, 35, 700, 22, 13, 0.253086
42, 43, 660, 22, 21, 0.268519
37, 48, 776, 22, 26, 0.280864
45, 40, 632, 18, 22, 0.274691
52, 33, 617, 20, 13, 0.250000
47, 38, 646, 22, 16, 0.246914
44, 41, 671, 19, 22, 0.274691
46, 39, 644, 20, 19, 0.280864
46, 39, 624, 24, 15, 0.250000
44, 41, 898, 25, 16, 0.234568
47, 38, 777, 24, 14, 0.243827
52, 33, 603, 16, 17, 0.293210
52, 33, 628, 20, 13, 0.253086
50, 35, 568, 20, 15, 0.259259
39, 46, 882, 24, 22, 0.246914
50, 35, 568, 20, 15, 0.259259
45, 40, 775, 21, 19, 0.277778
50, 35, 568, 20, 15, 0.259259
44, 41, 773, 23, 18, 0.268519
46, 39, 627, 16, 23, 0.293210
41, 44, 700, 22, 22, 0.262346
41, 44, 700, 22, 22, 0.262346
43, 42, 776, 20, 22, 0.274691
41, 44, 700, 22, 22, 0.262346
46, 39, 622, 17, 22, 0.280864
45, 40, 641, 19, 21, 0.277778
36, 49, 717, 26, 23, 0.243827
45, 40, 641, 19, 21, 0.277778
49, 36, 690, 19, 17, 0.280864
45, 40, 641, 19, 21, 0.277778
50, 35, 671, 19, 16, 0.302469
45, 40, 659, 21, 19, 0.262346
40, 45, 776, 23, 22, 0.265432
43, 42, 644, 19, 23, 0.274691
45, 40, 659, 21, 19, 0.262346
46, 39, 687, 23, 16, 0.265432
50, 35, 629, 19, 16, 0.259259
45, 40, 659, 21, 19, 0.262346
46, 39, 621, 19, 20, 0.277778
47, 38, 711, 20, 18, 0.268519
42, 43, 700, 21, 22, 0.262346
42, 43, 797, 25, 18, 0.237654
39, 46, 721, 20, 26, 0.287037
40, 45, 720, 23, 22, 0.256173
50, 35, 719, 19, 16, 0.250000
45, 40, 624, 20, 20, 0.265432
48, 37, 692, 22, 15, 0.259259
44, 41, 701, 23, 18, 0.256173
44, 41, 664, 20, 21, 0.268519
51, 34, 538, 20, 14, 0.231481
43, 42, 693, 21, 21, 0.302469
39, 46, 827, 22, 24, 0.274691
45, 40, 733, 22, 18, 0.250000
43, 42, 693, 21, 21, 0.302469
39, 46, 692, 18, 28, 0.302469
43, 42, 693, 21, 21, 0.302469
43, 42, 691, 23, 19, 0.250000
51, 34, 587, 18, 16, 0.296296
49, 36, 627, 19, 17, 0.274691
43, 42, 675, 24, 18, 0.237654
39, 46, 781, 24, 22, 0.256173
49, 36, 597, 20, 16, 0.280864
45, 40, 687, 18, 22, 0.268519
41, 44, 784, 20, 24, 0.274691
48, 37, 581, 20, 17, 0.259259
47, 38, 591, 19, 19, 0.256173
47, 38, 686, 23, 15, 0.234568
48, 37, 727, 24, 13, 0.268519
43, 42, 639, 23, 19, 0.237654
41, 44, 687, 17, 27, 0.308642
45, 40, 723, 24, 16, 0.234568
40, 45, 710, 21, 24, 0.274691
39, 46, 783, 27, 19, 0.256173
41, 44, 710, 22, 22, 0.274691
50, 35, 667, 22, 13, 0.253086
47, 38, 621, 21, 17, 0.256173
45, 40, 681, 22, 18, 0.250000
45, 40, 773, 27, 13, 0.216049
40, 45, 734, 24, 21, 0.262346
39, 46, 813, 25, 21, 0.262346
41, 44, 756, 24, 20, 0.253086
39, 46, 818, 23, 23, 0.280864
39, 46, 696, 23, 23, 0.256173
54, 31, 664, 20, 11, 0.240741
46, 39, 680, 21, 18, 0.253086
50, 35, 650, 19, 16, 0.274691
39, 46, 695, 21, 25, 0.280864
50, 35, 650, 19, 16, 0.274691
50, 35, 650, 19, 16, 0.274691
37, 48, 756, 22, 26, 0.290123
44, 41, 650, 20, 21, 0.262346
43, 42, 800, 21, 21, 0.280864
45, 40, 675, 28, 12, 0.203704
45, 40, 675, 28, 12, 0.203704
46, 39, 669, 19, 20, 0.311728
45, 40, 675, 28, 12, 0.203704
