trivial, nontrivial, cycles, bl, routed, usage
22, 20, 299, 8, 12, 0.326389
22, 20, 297, 8, 12, 0.326389
28, 14, 235, 7, 7, 0.312500
25, 17, 247, 9, 8, 0.277778
25, 17, 273, 8, 9, 0.312500
22, 20, 297, 8, 12, 0.326389
24, 18, 289, 9, 9, 0.340278
25, 17, 286, 9, 8, 0.291667
23, 19, 261, 7, 12, 0.319444
24, 18, 259, 8, 10, 0.333333
24, 18, 271, 8, 10, 0.326389
24, 18, 259, 8, 10, 0.333333
22, 20, 290, 9, 11, 0.291667
28, 14, 220, 9, 5, 0.277778
22, 20, 283, 11, 9, 0.270833
21, 21, 274, 6, 15, 0.368056
28, 14, 243, 7, 7, 0.333333
28, 14, 243, 7, 7, 0.333333
26, 16, 194, 7, 9, 0.312500
22, 20, 283, 11, 9, 0.270833
24, 18, 267, 7, 11, 0.326389
23, 19, 302, 6, 13, 0.368056
23, 19, 274, 6, 13, 0.354167
21, 21, 314, 7, 14, 0.368056
20, 22, 288, 9, 13, 0.291667
21, 21, 314, 7, 14, 0.368056
23, 19, 302, 6, 13, 0.368056
21, 21, 290, 11, 10, 0.284722
21, 21, 273, 8, 13, 0.326389
27, 15, 250, 7, 8, 0.305556
25, 17, 261, 7, 10, 0.319444
25, 17, 261, 7, 10, 0.319444
25, 17, 244, 9, 8, 0.291667
21, 21, 290, 11, 10, 0.284722
21, 21, 349, 9, 12, 0.333333
23, 19, 357, 12, 7, 0.298611
29, 13, 212, 4, 9, 0.340278
21, 21, 343, 10, 11, 0.284722
19, 23, 315, 7, 16, 0.395833
21, 21, 285, 12, 9, 0.256944
28, 14, 229, 7, 7, 0.298611
28, 14, 229, 7, 7, 0.298611
25, 17, 228, 9, 8, 0.291667
21, 21, 285, 12, 9, 0.256944
21, 21, 346, 8, 13, 0.361111
23, 19, 276, 9, 10, 0.298611
26, 16, 280, 6, 10, 0.361111
19, 23, 344, 11, 12, 0.298611
26, 16, 280, 6, 10, 0.361111
